timestamp,open,high,low,close,adjusted close,volume,dividend amount
1/29/2018,86.125,95.45,85.5,93.92,93.92,466070169,0
12/29/2017,83.6,87.4999,80.7,85.54,85.54,447828256,0
11/30/2017,83.68,85.06,82.24,84.17,84.17,416152260,0.42
10/31/2017,74.71,86.2,73.71,83.18,82.7611,440510118,0
9/29/2017,74.71,75.97,72.92,74.49,74.1149,367134396,0
8/31/2017,73.1,74.96,71.28,74.77,74.3935,429156682,0.39
7/31/2017,69.33,74.42,68.02,72.7,71.9506,451248934,0
6/30/2017,70.24,72.89,68.09,68.93,68.2195,610120893,0
5/31/2017,68.68,70.74,67.14,69.84,69.1201,505249296,0.39
4/28/2017,65.81,69.14,64.85,68.46,67.3758,428857613,0
3/31/2017,64.13,66.19,63.62,65.86,64.817,489173200,0
2/28/2017,64.36,65.24,62.75,63.98,62.9667,440744043,0.39
1/31/2017,62.79,65.91,61.95,64.65,63.2441,494435826,0
12/30/2016,60.11,64.1,58.8,62.14,60.7887,513579428,0
11/30/2016,59.97,61.41,57.28,60.26,58.9496,613056964,0.39
10/31/2016,57.405,61.3699,56.315,59.92,58.2312,614841775,0
9/30/2016,57.01,58.19,55.61,57.6,55.9766,526855083,0
8/31/2016,56.6,58.7,56.14,57.46,55.8406,467079004,0.36
7/29/2016,51.13,57.29,50.39,56.68,54.7395,647587634,0
6/30/2016,52.44,52.95,48.035,51.17,49.4181,823987498,0
5/31/2016,50,53,49.46,53,51.1855,530869347,0.36
4/29/2016,55.05,56.77,49.35,49.87,47.8218,699025640,0
3/31/2016,50.97,55.64,50.58,55.23,52.9616,640372350,0
2/29/2016,54.88,55.09,48.19,50.88,48.7903,814770780,0.36
1/29/2016,54.32,55.39,49.1,55.09,52.4577,927914485,0
12/31/2015,54.41,56.85,53.68,55.48,52.8291,793070000,0
11/30/2015,52.85,54.98,52.53,54.35,51.7531,662622220,0.36
10/30/2015,44.75,54.37,43.75,52.64,49.7864,857330655,0
9/30/2015,42.23,45,41.66,44.26,41.8607,670779566,0
8/31/2015,46.98,48.41,39.72,43.52,41.1608,776277394,0.31
7/31/2015,44.46,47.4,43.32,46.7,43.8807,725458102,0
6/30/2015,47.06,47.77,43.94,44.15,41.4846,664853340,0
5/29/2015,48.58,48.905,46.02,46.86,44.031,633072750,0.31
4/30/2015,40.6,49.54,40.12,48.64,45.4077,874535095,0
3/31/2015,43.67,44.19,40.54,40.655,37.9533,824335340,0
2/27/2015,40.59,44.3,40.23,43.85,40.936,656509827,0.31
1/30/2015,46.66,47.91,40.35,40.4,37.4489,918738022,0
12/31/2014,47.88,49.06,44.9,46.45,43.057,626810606,0
11/28/2014,46.89,50.045,46.73,47.81,44.3176,523008240,0.31
10/31/2014,46.27,46.97,42.1,46.95,43.2454,853297059,0
9/30/2014,45.43,47.57,44.53,46.36,42.7019,860084532,0
8/29/2014,43.21,45.47,42.21,45.43,41.8453,513429400,0.28
7/31/2014,41.86,45.71,41.05,43.16,39.5104,731616500,0
6/30/2014,40.95,42.29,39.86,41.7,38.1738,555779700,0
5/30/2014,40.2401,40.97,38.51,40.94,37.4781,574362900,0.28
4/30/2014,41.15,41.66,38.9,40.4,36.7293,746113500,0
3/31/2014,37.92,41.5,37.495,40.99,37.2657,778425700,0
2/28/2014,37.74,38.46,35.69,38.31,34.8292,705304500,0.28
1/31/2014,37.35,37.89,34.63,37.84,34.1464,930226200,0
12/31/2013,38.09,38.98,35.53,37.41,33.7584,826617700,0
11/29/2013,35.67,38.29,35.39,38.13,34.4081,800431600,0.28
10/31/2013,33.35,36.29,32.8,35.405,31.7075,965331500,0
9/30/2013,31.75,33.75,30.95,33.28,29.8044,1242961500,0
8/30/2013,32.06,35.2,30.84,33.4,29.9119,1051265000,0.23
7/31/2013,34.75,36.4299,31.02,31.84,28.3127,1111130600,0
6/28/2013,34.92,35.78,32.57,34.545,30.7181,945155500,0
5/31/2013,32.93,35.28,32.32,34.9,31.0337,1071860000,0.23
4/30/2013,28.64,33.11,28.11,33.1,29.2326,1322883228,0
3/28/2013,27.72,28.66,27.52,28.605,25.2628,844946000,0
2/28/2013,27.67,28.2,27.1,27.8,24.5519,780587000,0.23
