timestamp,open,high,low,close,adjusted close,volume,dividend amount
2018-01-29,86.1250,95.4500,85.5000,93.9200,93.9200,466070169,0.0000
2017-12-29,83.6000,87.4999,80.7000,85.5400,85.5400,447828256,0.0000
2017-11-30,83.6800,85.0600,82.2400,84.1700,84.1700,416152260,0.4200
2017-10-31,74.7100,86.2000,73.7100,83.1800,82.7611,440510118,0.0000
2017-09-29,74.7100,75.9700,72.9200,74.4900,74.1149,367134396,0.0000
2017-08-31,73.1000,74.9600,71.2800,74.7700,74.3935,429156682,0.3900
2017-07-31,69.3300,74.4200,68.0200,72.7000,71.9506,451248934,0.0000
2017-06-30,70.2400,72.8900,68.0900,68.9300,68.2195,610120893,0.0000
2017-05-31,68.6800,70.7400,67.1400,69.8400,69.1201,505249296,0.3900
2017-04-28,65.8100,69.1400,64.8500,68.4600,67.3758,428857613,0.0000
2017-03-31,64.1300,66.1900,63.6200,65.8600,64.8170,489173200,0.0000
2017-02-28,64.3600,65.2400,62.7500,63.9800,62.9667,440744043,0.3900
2017-01-31,62.7900,65.9100,61.9500,64.6500,63.2441,494435826,0.0000
2016-12-30,60.1100,64.1000,58.8000,62.1400,60.7887,513579428,0.0000
2016-11-30,59.9700,61.4100,57.2800,60.2600,58.9496,613056964,0.3900
2016-10-31,57.4050,61.3699,56.3150,59.9200,58.2312,614841775,0.0000
2016-09-30,57.0100,58.1900,55.6100,57.6000,55.9766,526855083,0.0000
2016-08-31,56.6000,58.7000,56.1400,57.4600,55.8406,467079004,0.3600
2016-07-29,51.1300,57.2900,50.3900,56.6800,54.7395,647587634,0.0000
2016-06-30,52.4400,52.9500,48.0350,51.1700,49.4181,823987498,0.0000
2016-05-31,50.0000,53.0000,49.4600,53.0000,51.1855,530869347,0.3600
2016-04-29,55.0500,56.7700,49.3500,49.8700,47.8218,699025640,0.0000
2016-03-31,50.9700,55.6400,50.5800,55.2300,52.9616,640372350,0.0000
2016-02-29,54.8800,55.0900,48.1900,50.8800,48.7903,814770780,0.3600
2016-01-29,54.3200,55.3900,49.1000,55.0900,52.4577,927914485,0.0000
2015-12-31,54.4100,56.8500,53.6800,55.4800,52.8291,793070000,0.0000
2015-11-30,52.8500,54.9800,52.5300,54.3500,51.7531,662622220,0.3600
2015-10-30,44.7500,54.3700,43.7500,52.6400,49.7864,857330655,0.0000
2015-09-30,42.2300,45.0000,41.6600,44.2600,41.8607,670779566,0.0000
2015-08-31,46.9800,48.4100,39.7200,43.5200,41.1608,776277394,0.3100
2015-07-31,44.4600,47.4000,43.3200,46.7000,43.8807,725458102,0.0000
2015-06-30,47.0600,47.7700,43.9400,44.1500,41.4846,664853340,0.0000
2015-05-29,48.5800,48.9050,46.0200,46.8600,44.0310,633072750,0.3100
2015-04-30,40.6000,49.5400,40.1200,48.6400,45.4077,874535095,0.0000
2015-03-31,43.6700,44.1900,40.5400,40.6550,37.9533,824335340,0.0000
2015-02-27,40.5900,44.3000,40.2300,43.8500,40.9360,656509827,0.3100
2015-01-30,46.6600,47.9100,40.3500,40.4000,37.4489,918738022,0.0000
2014-12-31,47.8800,49.0600,44.9000,46.4500,43.0570,626810606,0.0000
2014-11-28,46.8900,50.0450,46.7300,47.8100,44.3176,523008240,0.3100
2014-10-31,46.2700,46.9700,42.1000,46.9500,43.2454,853297059,0.0000
2014-09-30,45.4300,47.5700,44.5300,46.3600,42.7019,860084532,0.0000
2014-08-29,43.2100,45.4700,42.2100,45.4300,41.8453,513429400,0.2800
2014-07-31,41.8600,45.7100,41.0500,43.1600,39.5104,731616500,0.0000
2014-06-30,40.9500,42.2900,39.8600,41.7000,38.1738,555779700,0.0000
2014-05-30,40.2401,40.9700,38.5100,40.9400,37.4781,574362900,0.2800
2014-04-30,41.1500,41.6600,38.9000,40.4000,36.7293,746113500,0.0000
2014-03-31,37.9200,41.5000,37.4950,40.9900,37.2657,778425700,0.0000
2014-02-28,37.7400,38.4600,35.6900,38.3100,34.8292,705304500,0.2800
2014-01-31,37.3500,37.8900,34.6300,37.8400,34.1464,930226200,0.0000
2013-12-31,38.0900,38.9800,35.5300,37.4100,33.7584,826617700,0.0000
2013-11-29,35.6700,38.2900,35.3900,38.1300,34.4081,800431600,0.2800
2013-10-31,33.3500,36.2900,32.8000,35.4050,31.7075,965331500,0.0000
2013-09-30,31.7500,33.7500,30.9500,33.2800,29.8044,1242961500,0.0000
2013-08-30,32.0600,35.2000,30.8400,33.4000,29.9119,1051265000,0.2300
2013-07-31,34.7500,36.4299,31.0200,31.8400,28.3127,1111130600,0.0000
2013-06-28,34.9200,35.7800,32.5700,34.5450,30.7181,945155500,0.0000
2013-05-31,32.9300,35.2800,32.3200,34.9000,31.0337,1071860000,0.2300
2013-04-30,28.6400,33.1100,28.1100,33.1000,29.2326,1322883228,0.0000
2013-03-28,27.7200,28.6600,27.5200,28.6050,25.2628,844946000,0.0000
2013-02-28,27.6700,28.2000,27.1000,27.8000,24.5519,780587000,0.2300
2013-01-31,27.2500,28.2300,26.2800,27.4500,24.0456,1145054400,0.0000
2012-12-31,26.7800,27.7300,26.2600,26.7097,23.3971,947310900,0.0000
2012-11-30,28.8400,30.2000,26.3449,26.6150,23.3141,1310516100,0.2300
2012-10-31,29.8100,30.2500,27.7600,28.5400,24.7899,1105402300,0.0000
2012-09-28,30.4500,31.6100,29.7400,29.7600,25.8496,893107700,0.0000
2012-08-31,29.5900,30.9600,28.9700,30.8200,26.7703,671748400,0.2000
2012-07-31,30.6200,31.0500,28.5400,29.4700,25.4289,846604100,0.0000
2012-06-29,28.7600,31.1400,28.3200,30.5900,26.3953,973131400,0.0000
2012-05-31,32.0500,32.3350,28.6400,29.1900,25.1873,1014372600,0.2000
2012-04-30,32.2200,32.8900,30.2300,32.0150,27.4432,940739700,0.0000
2012-03-30,31.9300,32.9500,31.4900,32.2550,27.6490,942366500,0.0000
2012-02-29,29.7900,32.0000,29.7100,31.7400,27.2075,984332300,0.2000
